Product,Amount,Price
MULTIBOX KÖTT&FISK,1,49.9
ÄPPEL&MANGOJUICE FKT,1,18.5
BAGUETTE VETE 4P,1,9.9
ISBERGSSALLAD,1,9.72
GURKA IMPORT,1,15.9
FETAOST,1,26.9
ROCHER 4P,1,13.9
SURSKALLE,1,15.5
KVARG HAL/BLÅ LF,1,15.9
KVARG MANGO,1,15.9
KVARG VANILJ L/FRI,1,15.9
SNACKS SOURCREAM&ONI,1,22.9
LIME ST,2,13.8
TOMAT BABYPLOMMON,1,19.9
